dayfromstart,station_name,station_id,prov,lat,lon,date,year,month,day,max_temp,min_temp,mean_temp
1,DANVILLE,5345,QC,45.82,-71.98,1880-06-01,1880,6,1,20,11.1,15.6
2,DANVILLE,5345,QC,45.82,-71.98,1880-06-02,1880,6,2,19.4,15,17.2
3,DANVILLE,5345,QC,45.82,-71.98,1880-06-03,1880,6,3,20,15.6,17.8
4,DANVILLE,5345,QC,45.82,-71.98,1880-06-04,1880,6,4,17.2,5.6,11.4
5,DANVILLE,5345,QC,45.82,-71.98,1880-06-05,1880,6,5,23.9,6.1,15
6,DANVILLE,5345,QC,45.82,-71.98,1880-06-06,1880,6,6,22.8,14.4,18.6
7,DANVILLE,5345,QC,45.82,-71.98,1880-06-07,1880,6,7,21.7,14.4,18.1
8,DANVILLE,5345,QC,45.82,-71.98,1880-06-08,1880,6,8,23.9,11.7,17.8
9,DANVILLE,5345,QC,45.82,-71.98,1880-06-09,1880,6,9,24.4,11.1,17.8
10,DANVILLE,5345,QC,45.82,-71.98,1880-06-10,1880,6,10,27.8,15,21.4
11,DANVILLE,5345,QC,45.82,-71.98,1880-06-11,1880,6,11,27.8,11.1,19.5
12,DANVILLE,5345,QC,45.82,-71.98,1880-06-12,1880,6,12,22.8,11.7,17.3
13,DANVILLE,5345,QC,45.82,-71.98,1880-06-13,1880,6,13,20,10.6,15.3
14,DANVILLE,5345,QC,45.82,-71.98,1880-06-14,1880,6,14,20.6,7.8,14.2
15,DANVILLE,5345,QC,45.82,-71.98,1880-06-15,1880,6,15,21.7,8.9,15.3
16,DANVILLE,5345,QC,45.82,-71.98,1880-06-16,1880,6,16,24.4,7.8,16.1
17,DANVILLE,5345,QC,45.82,-71.98,1880-06-17,1880,6,17,27.2,6.7,17
18,DANVILLE,5345,QC,45.82,-71.98,1880-06-18,1880,6,18,30.6,7.8,19.2
19,DANVILLE,5345,QC,45.82,-71.98,1880-06-19,1880,6,19,27.2,15,21.1
20,DANVILLE,5345,QC,45.82,-71.98,1880-06-20,1880,6,20,24.4,14.4,19.4
21,DANVILLE,5345,QC,45.82,-71.98,1880-06-21,1880,6,21,19.4,12.2,15.8
22,DANVILLE,5345,QC,45.82,-71.98,1880-06-22,1880,6,22,20,7.2,13.6
23,DANVILLE,5345,QC,45.82,-71.98,1880-06-23,1880,6,23,23.3,6.1,14.7
24,DANVILLE,5345,QC,45.82,-71.98,1880-06-24,1880,6,24,28.9,11.1,20
25,DANVILLE,5345,QC,45.82,-71.98,1880-06-25,1880,6,25,32.8,17.2,25
26,DANVILLE,5345,QC,45.82,-71.98,1880-06-26,1880,6,26,28.3,18.3,23.3
27,DANVILLE,5345,QC,45.82,-71.98,1880-06-27,1880,6,27,30.6,13.9,22.3
28,DANVILLE,5345,QC,45.82,-71.98,1880-06-28,1880,6,28,27.2,17.2,22.2
