"Male" "Age" "Freq"
1 0 5332
1 1 4570
1 2 4979
1 3 4789
1 4 4884
1 5 4787
1 6 4619
1 7 4506
1 8 4436
1 9 4322
1 10 4445
1 11 4216
1 12 4157
1 13 4213
1 14 4461
1 15 4122
1 16 4272
1 17 4104
1 18 4219
1 19 4382
1 20 4491
1 21 4248
1 22 4295
1 23 3784
1 24 4132
1 25 3861
1 26 4004
1 27 3625
1 28 4293
1 29 3619
1 30 5186
1 31 2811
1 32 3662
1 33 2960
1 34 3422
1 35 3510
1 36 3813
1 37 2707
1 38 3687
1 39 2801
1 40 4654
1 41 1899
1 42 2595
1 43 2100
1 44 2074
1 45 2834
1 46 2229
1 47 1803
1 48 2338
1 49 1671
1 50 3546
1 51 1206
1 52 1739
1 53 1344
1 54 1629
1 55 1491
1 56 1640
1 57 1084
1 58 1390
1 59 1127
1 60 1933
1 61 858
1 62 982
1 63 910
1 64 1002
1 65 1091
1 66 854
1 67 788
1 68 978
1 69 890
1 70 1043
1 71 623
1 72 740
1 73 608
1 74 584
1 75 440
1 76 390
1 77 232
1 78 249
1 79 154
1 80 191
1 81 110
1 82 110
1 83 94
1 84 66
1 85 44
1 86 47
1 87 34
1 88 31
1 89 13
1 90 31
1 91 8
1 92 7
1 93 3
1 94 4
1 95 2
1 96 2
1 97 1
1 98 1
1 99 1
1 100 1
1 101 1
1 102 0
1 103 0
1 104 1
1 105 0
1 106 0
1 107 0
1 108 0
1 109 1
0 0 5147
0 1 4484
0 2 4788
0 3 4943
0 4 4652
0 5 4645
0 6 4648
0 7 4470
0 8 4270
0 9 4142
0 10 4259
0 11 4165
0 12 4224
0 13 4062
0 14 4332
0 15 4142
0 16 4578
0 17 4707
0 18 4951
0 19 4865
0 20 5347
0 21 4767
0 22 5525
0 23 5113
0 24 5386
0 25 5186
0 26 5291
0 27 4597
0 28 5591
0 29 4361
0 30 6405
0 31 2865
0 32 4040
0 33 3187
0 34 3921
0 35 3869
0 36 4101
0 37 2970
0 38 4108
0 39 2983
0 40 5653
0 41 1778
0 42 2807
0 43 2297
0 44 2358
0 45 3015
0 46 2501
0 47 2084
0 48 2823
0 49 1958
0 50 4475
0 51 1253
0 52 1797
0 53 1512
0 54 1804
0 55 1775
0 56 1820
0 57 1280
0 58 1676
0 59 1149
0 60 2864
0 61 875
0 62 1205
0 63 1145
0 64 1294
0 65 1440
0 66 1167
0 67 1049
0 68 1258
0 69 1197
0 70 1885
0 71 1023
0 72 1461
0 73 1175
0 74 982
0 75 865
0 76 696
0 77 411
0 78 460
0 79 286
0 80 447
0 81 174
0 82 227
0 83 155
0 84 185
0 85 105
0 86 121
0 87 81
0 88 55
0 89 51
0 90 61
0 91 23
0 92 27
0 93 16
0 94 14
0 95 16
0 96 6
0 97 8
0 98 7
0 99 9
0 100 0
0 101 1
0 102 0
0 103 0
0 104 0
0 105 0
0 106 0
0 107 1
0 108 0
0 109 0
