date,state,county,fips,cases,deaths,population,daily_cases,daily_deaths
2020-03-02,Georgia,Fulton,13121,2,0,1021902,,
2020-03-03,Georgia,Fulton,13121,2,0,1021902,0,0
2020-03-04,Georgia,Fulton,13121,2,0,1021902,0,0
2020-03-05,Georgia,Fulton,13121,2,0,1021902,0,0
2020-03-06,Georgia,Fulton,13121,2,0,1021902,0,0
2020-03-07,Georgia,Cobb,13067,1,0,745057,,
2020-03-07,Georgia,Fulton,13121,4,0,1021902,2,0
2020-03-07,Georgia,Gwinnett,13135,1,0,902298,,
2020-03-08,Georgia,Cobb,13067,3,0,745057,2,0
2020-03-08,Georgia,Fulton,13121,5,0,1021902,1,0
2020-03-08,Georgia,Gwinnett,13135,1,0,902298,0,0
2020-03-09,Georgia,Cobb,13067,4,0,745057,1,0
2020-03-09,Georgia,DeKalb,13089,2,0,743187,,
2020-03-09,Georgia,Fulton,13121,5,0,1021902,0,0
2020-03-09,Georgia,Gwinnett,13135,2,0,902298,1,0
2020-03-10,Georgia,Cobb,13067,7,0,745057,3,0
2020-03-10,Georgia,DeKalb,13089,2,0,743187,0,0
2020-03-10,Georgia,Fulton,13121,6,0,1021902,1,0
2020-03-10,Georgia,Gwinnett,13135,2,0,902298,0,0
2020-03-11,Georgia,Cobb,13067,8,0,745057,1,0
2020-03-11,Georgia,DeKalb,13089,4,0,743187,2,0
2020-03-11,Georgia,Fulton,13121,6,0,1021902,0,0
2020-03-11,Georgia,Gwinnett,13135,2,0,902298,0,0
2020-03-12,Georgia,Cobb,13067,8,1,745057,0,1
2020-03-12,Georgia,DeKalb,13089,4,0,743187,0,0
2020-03-12,Georgia,Fulton,13121,6,0,1021902,0,0
2020-03-12,Georgia,Gwinnett,13135,2,0,902298,0,0
2020-03-13,Georgia,Cobb,13067,8,1,745057,0,0
2020-03-13,Georgia,DeKalb,13089,4,0,743187,0,0
2020-03-13,Georgia,Fulton,13121,6,0,1021902,0,0
