X,lon,lat,alt,water,South
26118,157.559118485078,8.83106146200321,5044,1,0
29349,-51.5969406813383,29.2888090405015,5277,1,0
4391,-133.031055489555,13.6858984667018,5032,1,0
9424,156.070699179545,13.3558598950007,5727,1,0
9082,-113.194297933951,23.6083832265694,3551,1,0
25102,-97.7039276529104,23.4057144306131,20,1,0
17877,53.9569000527263,3.76104894437644,5157,1,0
1540,-72.242097761482,32.6501968225397,5367,1,0
45129,-162.686787061393,43.3711071818347,5674,1,0
43824,-117.704824162647,4.06984958575114,4123,1,0
11311,58.8233004324138,8.17538237237309,3682,1,0
39700,174.338574344292,71.0869305196703,39,1,0
22593,120.105827702209,23.3071397561967,2,1,0
26295,-122.426497489214,35.5958815740955,3634,1,0
36889,-53.916014553979,36.8388949830317,5392,1,0
35291,-150.567663833499,59.3419120354922,222,1,0
37238,4.66432191431522,78.6404583547523,2370,1,0
37408,-44.9578749854118,12.6707519732725,4481,1,0
7209,-38.8260643836111,28.6867818324891,4037,1,0
10962,-91.1662456020713,13.8342101746353,20,1,0
3197,-169.984442358837,0.559722201115734,5451,1,0
22271,41.722477292642,75.0458624675977,189,1,0
23087,118.962033614516,85.2464176404946,4302,1,0
6897,-173.211272573099,40.9359695045397,5793,1,0
13139,-0.887177344411612,3.83963908653711,4735,1,0
8906,-34.7994178812951,7.64193059297384,4144,1,0
9489,141.672123670578,53.4093830374272,6,1,0
9811,-135.981507031247,18.2514017457764,5380,1,0
1743,-118.6897136271,17.3616691325075,3892,1,0
3918,-176.026420835406,25.770027266593,5264,1,0
45885,-19.9849684629589,52.9080340449492,2737,1,0
35656,-83.7611885368824,29.8236764653703,4,1,0
39375,146.880524810404,1.83779157590693,4485,1,0
39567,-131.748714661226,14.4391670782241,5121,1,0
28424,-160.420262943953,42.7149396070993,5248,1,0
5786,-101.659235944971,3.73643315409672,3222,1,0
45457,52.7496338356286,7.27344627873389,5191,1,0
25912,-37.6005210075527,18.0075350575285,5833,1,0
25757,-112.601470062509,24.1565896543823,1852,1,0
30234,-144.649613304064,16.681714753671,5508,1,0
8336,110.77032789588,16.8525351921647,1648,1,0
45928,-128.002546839416,10.7302006471026,4729,1,0
45143,143.550356375054,15.571652780182,3707,1,0
3125,158.459977023304,24.5040679033198,5875,1,0
7671,-72.5465828832239,13.4392187169467,2936,1,0
12768,-165.835575135425,8.09375246200037,5043,1,0
4997,178.225417071953,28.4918088105495,5198,1,0
34993,-128.384076571092,35.3075170361981,4806,1,0
17965,-107.305889921263,80.2269635542766,483,1,0
35646,-93.0134237743914,12.8272315881648,4257,1,0
11339,20.7166107930243,36.4257309864425,2719,1,0
16330,-84.129254668951,56.6471633666703,157,1,0
14637,146.279832785949,20.4061404738409,3159,1,0
27750,-14.1782164480537,40.7456366744672,5295,1,0
39503,-136.094112703577,18.3357152999931,5211,1,0
309,-3.05872745811939,35.9138636930762,63,1,0
43612,-158.202764075249,10.0751138092017,5012,1,0
17602,-30.3960193321109,45.8914868567655,3323,1,0
20805,-57.9317448846996,74.7071454438958,22,1,0
18521,-176.240413673222,0.822302696898977,5269,1,0
36570,-135.79281094484,48.7976884809557,3719,1,0
12414,-168.461022237316,21.8253538285467,4291,1,0
42954,-65.4011147003621,70.3865206333135,1322,1,0
21255,-154.586795959622,27.7872377008218,5651,1,0
45247,-137.460993658751,9.39591798191504,4831,1,0
24048,-41.6736898384988,44.187567637649,4760,1,0
22132,-133.479323526844,23.0788645344887,4839,1,0
35792,64.231222467497,72.9524082865317,58,1,0
43443,131.432219278067,25.0281754522252,2776,1,0
2484,169.240822959691,39.9305301930971,5964,1,0
16538,-78.4951910655946,68.8138386934611,18,1,0
2821,119.162956634536,8.47353018855108,2053,1,0
17943,-137.937534693629,19.5295786118557,5140,1,0
23727,-19.8565730452538,41.5244747881472,4193,1,0
18440,72.3758941423148,82.1342440077469,686,1,0
46378,-11.3950067572296,6.62309770298497,61,1,0
44154,143.680184260011,47.2393756653209,147,1,0
10934,157.192882793024,40.1271824569621,5602,1,0
31410,136.378527441993,17.3008526088312,5013,1,0
12957,-173.301629405469,7.85177981746618,5865,1,0
20941,-168.190678702667,68.0906410375721,57,1,0
40451,-17.522302698344,31.4471405243479,4490,1,0
17508,175.72346130386,12.4822606700985,5764,1,0
3394,172.121480070055,44.6969276871719,6073,1,0
1219,170.368664944544,38.3645802271634,5379,1,0
22071,157.718858951703,22.3817709892251,5439,1,0
30049,-127.321211267263,17.0450597128437,4535,1,0
35936,-24.9226570967585,64.1114540816164,200,1,0
4201,-47.4493605829775,26.2977948661271,4284,1,0
21034,-22.7718573901802,36.7907871685328,4392,1,0
3166,129.896570211276,9.99035086029172,5772,1,0
486,132.587604951113,35.9475786228527,202,1,0
10224,143.135596504435,0.866146519508776,3374,1,0
45502,-157.822067253292,75.7200798497395,821,1,0
13486,-49.9183999467641,6.92688435922533,4036,1,0
25608,-79.4023615960032,17.28145813131,1369,1,0
15833,-16.0799738019705,32.2241354588577,4358,1,0
14548,-166.723031932488,20.9983500914831,4782,1,0
2200,-124.716662513092,34.8117373657857,4399,1,0
28867,-7.88794412277639,35.7673796341083,1646,1,0
43844,-125.682420618832,8.13925665666093,4399,1,0
